timestamp,memory_MB,time_s
1757950485.735139,188.9921875,0.0
1757950486.8119917,227.21484375,1.076852798461914
1757950487.8140113,239.50390625,2.0788724422454834
1757950488.8158143,262.4765625,3.0806753635406494
1757950489.8163574,264.359375,4.081218481063843
1757950490.8167315,261.92578125,5.081592559814453
1757950491.8189526,198.43359375,6.083813667297363
1757950492.8207874,236.08203125,7.085648536682129
1757950493.8228571,250.38671875,8.08771824836731
1757950494.8272028,232.2734375,9.092063903808594
1757950495.8279371,288.94140625,10.092798233032227
1757950496.8322535,356.6015625,11.097114562988281
1757950497.8330803,428.65234375,12.097941398620605
1757950498.8336704,366.0234375,13.098531484603882
1757950499.8340857,366.36328125,14.098946809768677
1757950500.8369067,337.5546875,15.101767778396606
1757950501.8379948,337.859375,16.102855920791626
1757950502.8384295,337.859375,17.103290557861328
1757950503.838639,337.921875,18.10350012779236
1757950504.8391454,338.0,19.10400652885437
1757950505.8395898,338.0,20.104450941085815
1757950506.8399,355.14453125,21.104761123657227
1757950507.8413322,358.18359375,22.10619330406189
