timestamp,memory_MB,time_s
1757950986.4933069,189.109375,0.0
1757950987.5655699,225.234375,1.0722630023956299
1757950988.5672257,236.65625,2.0739188194274902
1757950989.5684426,257.28515625,3.0751357078552246
1757950990.5688756,250.03125,4.075568675994873
1757950991.5694351,192.484375,5.076128244400024
1757950992.6008675,211.50390625,6.107560634613037
1757950993.6082578,246.4765625,7.114950895309448
1757950994.608361,199.3671875,8.1150541305542
1757950995.6243982,230.87109375,9.131091356277466
1757950996.63683,290.07421875,10.143523216247559
1757950997.6405432,357.3125,11.147236347198486
1757950998.6424017,429.3828125,12.149094820022583
1757950999.6426997,366.7578125,13.14939284324646
1757951000.6430295,305.5,14.149722576141357
1757951001.6452644,339.50390625,15.151957511901855
1757951002.6454241,340.13671875,16.152117252349854
1757951003.6459112,340.20703125,17.152604341506958
1757951004.6464038,340.20703125,18.153096914291382
1757951005.64681,340.20703125,19.15350317955017
1757951006.6480613,341.640625,20.154754400253296
1757951007.6489995,358.51171875,21.15569257736206
